                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 12 1 2015                              
ucc.exe -dir d:\Development\GitHub\Breakout\source\ -extfile JavaScript -outdir d:\Metriken\count_out_6\

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
1,2,1,Low,Material,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,PolyK.GetArea,d:\Development\GitHub\Breakout\source\\phaser.js
10,12,10,Low,PolyK.Triangulate,d:\Development\GitHub\Breakout\source\\phaser.js
1,3,1,Low,PolyK._PointInTriangle,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,PolyK._convex,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.crossLength,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.crossVZ,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.crossZV,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,vec2.rotate,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.rotate90cw,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.toLocalFrame,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.toGlobalFrame,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.vectorToLocalFrame,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.vectorToGlobalFrame,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.centroid,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.create,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.clone,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.fromValues,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.copy,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.set,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.add,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.subtract,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.multiply,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.divide,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.scale,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.distance,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.squaredDistance,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.length,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.squaredLength,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.negate,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,vec2.normalize,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.dot,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.str,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.lerp,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,vec2.reflect,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,vec2.getLineSegmentsIntersection,d:\Development\GitHub\Breakout\source\\phaser.js
2,5,2,Low,vec2.getLineSegmentsIntersectionFraction,d:\Development\GitHub\Breakout\source\\phaser.js
15,21,15,Medium,Body,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,Body.prototype.updateSolveMassProperties,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Body.prototype.setDensity,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Body.prototype.getArea,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Body.prototype.getAABB,d:\Development\GitHub\Breakout\source\\phaser.js
